Date,A,ABBV,ABC,ABMD,ABT,ALGN,AMGN,ANTM,BAX,BDX,BIIB,BIO,BMY,BSX,CAH,CERN,CI,CNC,COO,CRL,CTLT,CVS,DGX,DHR,DVA,DXCM,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MOH,MRK,MTD,OGN,PFE,PKI,REGN,RMD,STE,SYK,TECH,TFX,TMO,UHS,UNH,VRTX,VTRS,WAT,WST,XRAY,ZBH,ZTS,A,ABBV,ABC,ABMD,ABT,ALGN,AMGN,ANTM,BAX,BDX,BIIB,BIO,BMY,BSX,CAH,CERN,CI,CNC,COO,CRL,CTLT,CVS,DGX,DHR,DVA,DXCM,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MOH,MRK,MTD,OGN,PFE,PKI,REGN,RMD,STE,SYK,TECH,TFX,TMO,UHS,UNH,VRTX,VTRS,WAT,WST,XRAY,ZBH,ZTS
2020/1/2,84.66674042,79.46199799,82.06414032,168.8099976,83.6676712,283.6799927,224.7041626,292.4848328,83.45846558,257.9525757,294.2399902,372.1600037,59.02220535,45.33000183,46.10401535,71.75939178,200.325943,61.88000107,323.1864624,153.8899994,56.59999847,69.36600494,100.5856552,153.8589935,75.25,219.3800049,77.5,59.35956573,145.0991364,52.06999969,67.12000275,357.7753601,265.019989,327,85.97000122,156.4100037,199.0866699,137.7292938,167.4799957,127.1451797,135.7718506,108.9008484,133.3699951,81.41465759,805.0599976,,34.07484436,98.3213501,373.3500061,153.4368286,148.8092346,205.2888031,217.5448608,375.2789612,324.7521057,141.0863953,282.9369202,219.4499969,20.01318359,235.0599976,150.8193359,55.84935379,142.5090027,132.2008362,85.94999695,89.55000305,85.08000183,168.8099976,86.94999695,283.6799927,240.1000061,300.8699951,85.87000275,265.8926697,294.2399902,372.1600037,63.34000015,45.33000183,50.09000015,73.62000275,204.9400024,61.88000107,323.3200073,153.8899994,56.59999847,74.16000366,105.7300034,155.1100006,75.25,219.3800049,77.5,65.23000336,147.4900055,52.06999969,67.12000275,363.2399902,265.019989,327,85.97000122,156.4100037,199.0866699,145.9700012,167.4799957,132.2100067,138.6900024,114.5599976,133.3699951,87.82442474,805.0599976,,37.13472366,98.86000061,373.3500061,156.1100006,151.6999969,210.4499969,219.4600067,378.4899902,326.3699951,142.3099976,292.5,219.4499969,20.64999962,235.0599976,151.7400055,56.93000031,144.8543701,134.1399994
2020/1/3,83.30735779,78.70774078,81.03206635,166.8200073,82.64769745,280.4400024,223.1786804,288.6060486,83.09885406,255.1605072,290.8500061,366.7799988,58.50037384,44.97999954,45.43209839,71.96408844,198.6055756,61.15999985,322.1669312,152.6999969,55.97999954,68.81413269,99.99580383,152.906723,75.08000183,218.6999969,77.20999908,59.21396637,145.5418549,51.88999939,66.55999756,359.3709106,264.769989,322.730011,77.90000153,154.1900024,197.7799988,136.1347046,167.2299957,126.7220306,133.8433228,108.2544479,132.5399933,80.71585846,789.539978,,33.89202499,96.46154022,369.1600037,152.6308594,147.7596283,204.4499054,214.7890778,371.4417725,321.2197266,140.7493134,280.0737305,217.9799957,19.57706261,231.0099945,151.2168884,55.23131561,142.1365051,132.2205811,84.56999969,88.69999695,84.01000214,166.8200073,85.88999939,280.4400024,238.4700012,296.8800049,85.5,263.0146484,290.8500061,366.7799988,62.77999878,44.97999954,49.36000061,73.83000183,203.1799927,61.15999985,322.2999878,152.6999969,55.97999954,73.56999969,105.1100006,154.1499939,75.08000183,218.6999969,77.20999908,65.06999969,147.9400024,51.88999939,66.55999756,364.8599854,264.769989,322.730011,77.90000153,154.1900024,197.7799988,144.2799988,167.2299957,131.7700043,136.7200012,113.8799973,132.5399933,87.07061005,789.539978,,36.93548584,96.98999786,369.1600037,155.2899933,150.6300049,209.5899963,216.6799927,374.6199951,322.8200073,141.9700012,289.5400085,217.9799957,20.20000076,231.0099945,152.1399994,56.29999924,144.4757233,134.1600037
2020/1/6,83.55361176,79.32889557,82.21847534,179.0399933,83.08071136,285.8800049,224.8913422,292.0765076,82.89476013,258.7476501,290.8200073,372.0299988,58.68674469,45.34999847,45.80948257,72.12003326,202.2613678,63.02999878,323.0365601,153.4499969,55.99000168,69.08538818,100.5380707,153.3630219,75.55000305,225.9900055,78.26667023,59.74176025,146.0927429,52.38000107,67.29000092,364.9753723,266.9299927,325.5299988,77.33999634,155,198.5866699,135.964859,169.4199982,127.1932526,135.2530365,109.2145386,137.3500061,81.06084442,793.7299805,,33.84849548,97.46604919,371.7399902,153.3581848,148.7307434,207.0154266,215.2649231,375.7747498,323.5282288,140.6402588,282.0179138,224.0299988,20.22640038,228.8800049,151.2964325,55.53543854,141.3150787,131.2054443,84.81999969,89.40000153,85.23999786,179.0399933,86.33999634,285.8800049,240.3000031,300.4500122,85.29000092,266.7121887,290.8200073,372.0299988,62.97999954,45.34999847,49.77000046,73.98999786,206.9199982,63.02999878,323.1700134,153.4499969,55.99000168,73.86000061,105.6800003,154.6100006,75.55000305,225.9900055,78.26667023,65.65000153,148.5,52.38000107,67.29000092,370.5499878,266.9299927,325.5299988,77.33999634,155,198.5866699,144.1000061,169.4199982,132.2599945,138.1600037,114.8899994,137.3500061,87.44274902,793.7299805,,36.88804626,98,371.7399902,156.0299988,151.6199951,212.2200012,217.1600037,378.9899902,325.1400146,141.8600006,291.5499878,224.0299988,20.87000084,228.8800049,152.2200012,56.61000061,143.6407776,133.1300049
2020/1/7,83.80973816,78.87634277,81.63008881,180.3500061,82.61883545,283.0599976,222.7762604,291.1918945,83.08913422,258.1324463,290.0899963,380.5400085,59.57198715,45.40000153,45.82788849,71.17455292,203.248642,63.02999878,323.9161682,154.6900024,56.29000092,68.82349396,99.38696289,154.8707733,75.11000061,231.4499969,77.66999817,59.25946426,145.8960114,52.49000168,67.73999786,361.3507385,266.1199951,329.6900024,77.13999939,156.8000031,194.2666626,136.7951813,169.1600037,127.43367,134.9495392,108.8343048,139.2599945,78.90251923,797.1599731,,33.73532104,98.26168823,373.1300049,152.4932709,148.1618195,204.4791718,214.0952148,375.1996155,325.3591309,141.2053528,280.3155518,223.7899933,20.51714706,231.9799957,150.9087677,55.82973862,141.1908875,131.6489563,85.08000183,88.88999939,84.62999725,180.3500061,85.86000061,283.0599976,238.0399933,299.5400085,85.48999786,266.078064,290.0899963,380.5400085,63.93000031,45.40000153,49.79000092,73.01999664,207.9299927,63.02999878,324.0499878,154.6900024,56.29000092,73.58000183,104.4700012,156.1300049,75.11000061,231.4499969,77.66999817,65.12000275,148.3000031,52.49000168,67.73999786,366.8699951,266.1199951,329.6900024,77.13999939,156.8000031,194.2666626,144.9799957,169.1600037,132.5099945,137.8500061,114.4899979,139.2599945,85.11450195,797.1599731,,36.76470566,98.80000305,373.1300049,155.1499939,151.0399933,209.6199951,215.9799957,378.4100037,326.980011,142.4299927,289.7900085,223.7899933,21.17000008,231.9799957,151.8300018,56.90999985,143.5145569,133.5800018
2020/1/8,84.63719177,79.43537903,82.42102051,178.6900024,82.95562744,286,222.9447174,298.9105835,84.29431915,258.766571,292.6600037,381.7900085,59.50675583,45.63999939,46.07640076,71.58394623,206.6502991,64.37000275,327.5147095,154.9299927,56.68000031,67.96298218,99.79603577,155.0294495,75.52999878,233.2299957,77.15333557,59.87826157,146.8601227,52.29000092,67.93000031,369.3584595,271.6799927,332.1600037,76.52999878,157.6000061,193.9266663,136.7763214,173.8399963,128.5877228,137.6025085,110.7450104,143.7799988,78.3717804,797.0700073,,34.0051918,98.05282593,382.4200134,153.5940704,148.0735168,205.5229645,213.2228851,376.2406921,325.8765259,143.8325806,286.225708,231.0899963,20.56560326,226.3500061,148.8712311,56.41835403,142.8815308,131.3631439,85.91999817,89.51999664,85.44999695,178.6900024,86.20999908,286,238.2200012,307.480011,86.73000336,266.73172,292.6600037,381.7900085,63.86000061,45.63999939,50.06000137,73.44000244,211.4100037,64.37000275,327.6499939,154.9299927,56.68000031,72.66000366,104.9000015,156.2899933,75.52999878,233.2299957,77.15333557,65.80000305,149.2799988,52.29000092,67.93000031,375,271.6799927,332.1600037,76.52999878,157.6000061,193.9266663,144.9600067,173.8399963,133.7100067,140.5599976,116.5,143.7799988,84.54198456,797.0700073,,37.05882263,98.58999634,382.4200134,156.2700043,150.9499969,210.6900024,215.1000061,379.4599915,327.5,145.0800018,295.8999939,231.0899963,21.21999931,226.3500061,149.7799988,57.50999832,145.233017,133.2899933
2020/1/9,85.96704102,80.04763031,83.5881424,183.6000061,83.17694855,296.5400085,223.6091766,297.8704529,84.10964203,258.8990479,294.2999878,388.730011,60.98836517,45.70999908,46.29729843,71.89584351,206.1029053,64.16000366,333.1124268,157.0500031,56.97000122,68.15002441,101.0232544,156.3983612,75.58000183,239.2700043,77.97333527,59.91465378,145.0302429,53.27999878,66.19999695,359.0262451,277.9400024,334.6000061,77.94999695,159.5,195.2633362,137.1820374,174.9100037,130.7130432,138.3269348,112.5416412,143.4299927,79.06173706,810.8599854,,33.85719299,99.31589508,383.4700012,154.8816376,148.8876801,206.4399109,214.7990265,376.1911621,327.9760742,143.0890045,284.600647,230.2599945,20.28454971,228.8000031,150.5410461,56.45759583,141.9359283,133.1075439,87.26999664,90.20999908,86.66000366,183.6000061,86.44000244,296.5400085,238.9299927,306.4100037,86.54000092,266.8682861,294.2999878,388.730011,65.44999695,45.70999908,50.29999924,73.76000214,210.8500061,64.16000366,333.25,157.0500031,56.97000122,72.86000061,106.1900024,157.6699982,75.58000183,239.2700043,77.97333527,65.83999634,147.4199982,53.27999878,66.19999695,364.5100098,277.9400024,334.6000061,77.94999695,159.5,195.2633362,145.3899994,174.9100037,135.9199982,141.3000031,118.3899994,143.4299927,85.28626251,810.8599854,,36.89753342,99.86000061,383.4700012,157.5800018,151.7799988,211.6300049,216.6900024,379.4100037,329.6099854,144.3300018,294.2200012,230.2599945,20.93000031,228.8000031,151.4600067,57.54999924,144.2718506,135.0599976
2020/1/10,86.28225708,79.02719879,83.95467377,189.0599976,82.13770294,293.3299866,222.9821472,299.1633301,83.48763275,259.7698669,296.5100098,383.519989,60.78337097,45.66999817,46.6010437,71.6229248,205.5457306,64.48000336,333.5122375,157.8899994,57.68999863,67.44851685,101.6511459,156.8447113,75.94999695,237.3000031,77.61333466,59.17756271,145.7386017,53.16999817,66.62000275,358.6421204,281.6400146,335.5299988,76.47000122,159.3000031,199.5733337,136.8706665,177.5800018,132.7133789,140.7841339,112.7792969,143.3500061,79.19441986,817.6900024,,34.37954712,99.79329681,381.4100037,154.2034454,148.1323853,204.5084381,214.2538147,375.4871826,327.1004639,144.7942352,285.4809265,228.9499969,20.20701599,230.8800049,151.7039185,56.6930275,143.2635651,133.610199,87.58999634,89.05999756,87.04000092,189.0599976,85.36000061,293.3299866,238.2599945,307.7399902,85.90000153,267.7658691,296.5100098,383.519989,65.23000336,45.66999817,50.63000107,73.48000336,210.2799988,64.48000336,333.6499939,157.8899994,57.68999863,72.11000061,106.8499985,158.1199951,75.94999695,237.3000031,77.61333466,65.02999878,148.1399994,53.16999817,66.62000275,364.1199951,281.6400146,335.5299988,76.47000122,159.3000031,199.5733337,145.0599976,177.5800018,138,143.8099976,118.6399994,143.3500061,85.42938995,817.6900024,,37.46679306,100.3399963,381.4100037,156.8899994,151.0099945,209.6499939,216.1399994,378.7000122,328.730011,146.0500031,295.1300049,228.9499969,20.85000038,230.8800049,152.6300049,57.79000092,145.6213531,135.5700073
2020/1/13,86.15419769,78.54801941,83.09621429,168.1000061,81.9067688,298.0700073,221.7280731,288.4699097,86.86018372,261.4167175,293.8999939,384.1400146,61.64064789,45.47000122,46.42616272,71.22328949,198.9281616,63.40000153,333.412262,159.1000061,59.45000076,68.0565033,101.8806076,158.2830048,76.91999817,235.8399963,77.80000305,58.52235794,144.7745056,52.90999985,66.22000122,351.5110779,282.2900085,323.1499939,77.09999847,158.1499939,201.0399933,137.4745331,179.2200012,133.6174011,140.6275024,112.1804199,139.7700043,79.17673492,822.5700073,,34.30990219,100.0817108,378.9299927,155.559845,148.6522827,201.8161316,215.4037018,374.9715881,330.374054,143.6343079,276.504303,226.4900055,20.13917542,228.8200073,154.9938507,57.00696564,142.3370819,134.5365753,87.45999908,88.51999664,86.15000153,168.1000061,85.12000275,298.0700073,236.9199982,296.7399902,89.37000275,269.4634094,293.8999939,384.1400146,66.15000153,45.47000122,50.43999863,73.06999969,203.5099945,63.40000153,333.5499878,159.1000061,59.45000076,72.76000214,106.5599976,159.5700073,76.91999817,235.8399963,77.80000305,64.30999756,147.1600037,52.90999985,66.22000122,356.8800049,282.2900085,323.1499939,77.09999847,158.1499939,201.0399933,145.6999969,179.2200012,138.9400024,143.6499939,118.0100021,139.7700043,85.41030121,822.5700073,,37.39089203,100.6299973,378.9299927,158.2700043,151.5399933,206.8899994,217.3000031,378.1799927,332.019989,144.8800049,285.8500061,226.4900055,20.78000069,228.8200073,155.9400024,58.11000061,144.6796112,136.5099945
2020/1/14,86.67629242,79.32145691,85.68121338,172.7299957,82.85377502,287.6099854,224.6105957,288.6060486,86.70466614,261.1895447,298.9700012,384.1600037,61.91088486,42.65999985,48.27621078,72.33447266,200.570343,63.16999817,335.9312439,159.6100006,60.31000137,69.05732727,101.8232498,160.0883484,77.75,235.0599976,78.67666626,58.42225266,145.5123291,53.52999878,67.47000122,351.8754272,284.019989,317.1099854,81.47000122,158.9299927,200.8966675,138.2482605,180.3899994,135.2618256,147.4998169,111.2583313,131.8500061,79.54824829,830.6300049,,34.88448715,101.1359482,387.6199951,155.6089783,149.505722,202.8598938,215.958786,379.8895569,331.150238,144.2093201,278.8161926,229.75,20.54622459,232.0800018,155.5405121,57.64461899,141.6875763,135.2855988,87.98999786,88.19999695,88.83000183,172.7299957,85.73999786,287.6099854,240,296.8800049,89.20999908,269.2292786,298.9700012,384.1600037,66.44000244,42.65999985,52.45000076,74.20999908,205.1900024,63.16999817,336.0700073,159.6100006,60.31000137,73.83000183,106.5,161.3899994,77.75,235.0599976,78.67666626,64.19999695,147.9100037,53.52999878,67.47000122,357.25,284.019989,317.1099854,81.47000122,158.9299927,200.8966675,146.5200043,180.3899994,140.6499939,150.6699982,117.0400009,131.8500061,85.81106567,830.6300049,,38.0170784,101.6900024,387.6199951,158.3200073,152.4100037,207.9600067,217.8600006,383.1400146,332.7999878,145.4600067,288.2399902,229.75,21.20000076,232.0800018,156.4900055,58.75999832,144.0194244,137.2700043
2020/1/15,87.296875,80.27475739,88.13117981,177.9199982,84.43856812,274.1000061,226.2015686,293.1458435,87.04482269,262.4577942,293.0899963,376.4299927,62.04133606,42.56999969,49.5279808,72.80235291,203.5418854,64.51999664,343.7080078,158.8399963,60.84000015,70.40423584,102.0431442,159.5030975,78.05000305,234.3399963,78.93000031,58.33125305,144.8629913,53.75,68.5,358.592865,288.4899902,320.3900146,80.54000092,159.3699951,199.0800018,138.7105865,178.2299957,135.7042236,150.7891083,111.5340042,138.9499969,80.97238922,818.3900146,,35.40684509,101.1757278,390.75,156.0021362,149.662674,201.6795654,218.377533,377.1727295,333.5383301,143.0592804,286.7191162,234.1499939,21.37000847,234.3600006,156.2362671,57.97816849,141.5060883,136.5372314,88.62000275,89.26000214,91.37000275,177.9199982,87.37999725,274.1000061,241.6999969,301.5499878,89.55999756,270.5365906,293.0899963,376.4299927,66.58000183,42.56999969,53.81000137,74.69000244,208.2299957,64.51999664,343.8500061,158.8399963,60.84000015,75.26999664,106.7300034,160.8000031,78.05000305,234.3399963,78.93000031,64.09999847,147.25,53.75,68.5,364.0700073,288.4899902,320.3900146,80.54000092,159.3699951,199.0800018,147.0099945,178.2299957,141.1100006,154.0299988,117.3300018,138.9499969,87.34732819,818.3900146,,38.58633804,101.7300034,390.75,158.7200012,152.5700073,206.75,220.3000031,380.3999939,335.2000122,144.3000031,296.4100037,234.1499939,22.04999924,234.3600006,157.1900024,59.09999847,143.8349457,138.5399933
