,Report Date,Stock price,Y_boolean,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Interest Coverage,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,tweet_subjectivity
0,2020-06-01,136.7581482,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.4315567058537848
1,2020-06-02,139.86227419999997,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.587062115390963
2,2020-06-03,140.9002533,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.555195663082662
3,2020-06-04,138.9132385,-1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5737337043095927
4,2020-06-05,139.3976288,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5049070212590561
5,2020-06-06,139.4931946,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.4404727314094563
6,2020-06-07,139.5887604,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5658211702277862
7,2020-06-08,139.6843262,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.6136918595469298
8,2020-06-09,137.2129211,-1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.6725341194235437
9,2020-06-10,138.3102264,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5406864239046065
10,2020-06-11,129.5614014,-1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.6175798559605692
11,2020-06-12,132.5369873,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.6204927360571446
12,2020-06-13,132.28324890000002,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.45209164468699997
13,2020-06-14,132.0295105,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.4771471675723902
14,2020-06-15,131.77577209999998,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5999127536893054
15,2020-06-16,134.6821747,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5068216957681191
16,2020-06-17,135.2258606,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5063159856164221
17,2020-06-18,135.82888789999998,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5319847037474723
18,2020-06-19,135.82888789999998,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.6799127951981054
19,2020-06-20,135.67731730000003,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.7710156302038005
20,2020-06-21,135.5257466,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,1.0
21,2020-06-22,135.374176,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.8039212780404109
22,2020-06-23,136.53079219999998,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.6648919600501131
23,2020-06-24,132.7643433,-1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5206002827657334
24,2020-06-25,133.7628326,1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.6063747821841883
25,2020-06-26,131.1431274,-1,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5203924469029468
26,2020-06-27,130.9190521,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.5373316534375734
27,2020-06-28,130.6949768,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.4778723230796
28,2020-06-29,130.4709015,0,1.0,0.0,0.4921503683287494,0.04490648065768088,0.3985431896238092,0.0,1.0,1.0,0.7113687968096851
29,2020-06-30,135.4730225,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5269365687800498
30,2020-07-01,135.6213074,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4906037046474996
31,2020-07-02,136.08595280000003,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4592365091695205
32,2020-07-03,136.3182641,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5158268031017705
33,2020-07-04,136.5505753,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7096168984144082
34,2020-07-05,136.78288659999998,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6491697720978742
35,2020-07-06,137.0151978,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7028503639511108
36,2020-07-07,136.8570099,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4853802436397974
37,2020-07-08,137.2227936,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.458466391199563
38,2020-07-09,136.1056976,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6078410967870429
39,2020-07-10,135.5323486,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6466631756035648
40,2020-07-11,135.9310659,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5650503712540651
41,2020-07-12,136.32978310000001,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6658308372383486
42,2020-07-13,136.7285004,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4906935485011194
43,2020-07-14,138.7945862,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5807879466484787
44,2020-07-15,141.28578190000002,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6581136377359611
45,2020-07-16,141.5035858,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.447811730607623
46,2020-07-17,143.2062988,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5643824038485921
47,2020-07-18,143.6385752,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6308431014675495
48,2020-07-19,144.0708517,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5700876912331525
49,2020-07-20,144.5031281,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5981787883931267
50,2020-07-21,143.5527954,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.520263023759183
51,2020-07-22,143.6517792,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5423619688065253
52,2020-07-23,142.6222229,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6127205049649378
53,2020-07-24,142.7707367,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5217219932500194
54,2020-07-25,143.6616872,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5162186883387571
55,2020-07-26,144.5526378,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.3983820128875744
56,2020-07-27,145.44358830000002,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4950657223760384
57,2020-07-28,144.513031,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5451382914341982
58,2020-07-29,146.106842,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5907212134682824
59,2020-07-30,147.61157230000003,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5252253198236883
60,2020-07-31,150.15574650000002,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4202853639254922
61,2020-08-01,151.08960469999997,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6640968070846701
62,2020-08-02,152.023463,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5417461144033133
63,2020-08-03,152.9573212,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7040355375003795
64,2020-08-04,154.0759888,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5857764127147416
65,2020-08-05,156.1350555,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.2870308281323561
66,2020-08-06,159.708786,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4733293307607385
67,2020-08-07,157.2833862,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6555667485189947
68,2020-08-08,157.0227051,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5417257815766687
69,2020-08-09,156.7620239,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6141418408906691
70,2020-08-10,156.5013428,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5283764377367657
71,2020-08-11,155.3529816,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.3879013325427634
72,2020-08-12,157.75859069999998,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.7599133717812919
73,2020-08-13,157.2734833,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6164181283980064
74,2020-08-14,155.4717865,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5558202732485444
75,2020-08-15,155.59387719999998,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5134912196239076
76,2020-08-16,155.71596780000002,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5326386457182979
77,2020-08-17,155.8380585,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.5363456248459224
78,2020-08-18,158.56042480000002,1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6209331184906981
79,2020-08-19,156.9864197,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.8506071829552928
80,2020-08-20,156.9468079,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4743081763841248
81,2020-08-21,156.77851869999998,0,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.4686212112436703
82,2020-08-22,156.2472382,-1,0.0,0.17088733973539627,0.5291245412181897,0.7105042507138408,1.0,0.030666760569418194,0.3675800216375098,0.4362436142146589,0.6907095747896808
