,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff,s_diff
0,2020/3/2,368.9500122,1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.416435093,0,0.282600584,0.369822478,0.369401241,0.680329444
1,2020/3/3,370,0,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.569010423,0.17882293,0.282600584,0.34270332,0.234586844,0.680329444
2,2020/3/4,384.9299927,1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.417247782,0.673163669,0.282600584,0.290269865,0.16941818,1
3,2020/3/5,386.6799927,1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.01025996,0.122699267,0.282600584,0.26022665,0.080192239,0
4,2020/3/6,374.5599976,-1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.118097288,0.220400187,0.282600584,0.281299265,0.167765772,0.573664317
5,2020/3/7,366.8199972,-1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.3454636,0.184849032,0.282600584,0.30778768,0.09185363,0.426605939
6,2020/3/8,359.0799967,-1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0,0.190136846,0.282600584,0.334276094,0.036388411,0.469945017
7,2020/3/9,351.3399963,-1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.675932099,0.57750869,0.282600584,0.360764509,0.045026321,0.881345414
8,2020/3/10,367.5899963,1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.127537934,0.313395768,0.282600584,0.366250193,0.129483243,0.231503392
9,2020/3/11,345.7900085,-1,0.039077433,1,0,0.066881531,1,0,0,0,0.002086143,0.640009226,0.391295572,0.409680916,0.135382962,0.716532308,0.441097148,0.552360338,0.569071965,0.234576926,0.039077433,0.526951066,0.766351248,0.282600584,0.429315532,0,0.91978868
