,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff,s_diff
0,2020/3/2,137.0998383,1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.416435093,0,0.129519472,0.27518471,0.369401241,0.680329444
1,2020/3/3,135.4515839,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.569010423,0.17882293,0.129519472,0.260476196,0.234586844,0.680329444
2,2020/3/4,141.7484283,1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.417247782,0.673163669,0.129519472,0.188273006,0.16941818,1
3,2020/3/5,137.741333,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.01025996,0.122699267,0.129519472,0.194702771,0.080192239,0
4,2020/3/6,135.2640533,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.118097288,0.220400187,0.129519472,0.230526644,0.167765772,0.573664317
5,2020/3/7,132.8525543,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.3454636,0.184849032,0.129519472,0.264485626,0.09185363,0.426605939
6,2020/3/8,130.4410553,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0,0.190136846,0.129519472,0.298444608,0.036388411,0.469945017
7,2020/3/9,128.0295563,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.675932099,0.57750869,0.129519472,0.33240359,0.045026321,0.881345414
8,2020/3/10,130.9904938,1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.127537934,0.313395768,0.129519472,0.360553604,0.129483243,0.231503392
9,2020/3/11,128.572403,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.526951066,0.766351248,0.129519472,0.401509822,0,0.91978868
10,2020/3/12,118.7125854,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.537893536,0.461227061,0.129519472,0.527069984,0.194243033,0.217237506
11,2020/3/13,123.8448257,1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.592176811,0.513171674,0.129519472,0.537920324,0.201393346,0.512646199
12,2020/3/14,117.7782618,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.638087626,0.561659834,0.129519472,0.264485626,0.198843434,0.508289782
13,2020/3/15,111.7116979,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.585808282,0.587738818,0.129519472,0.298444608,0.185799431,0.487386236
14,2020/3/16,105.645134,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.689304547,0.579046917,0.129519472,0.728590181,0.207248679,0.456611391
15,2020/3/17,109.6028671,1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.652128045,0.532325979,0.129519472,0.781467457,0.188215667,0.423094141
16,2020/3/18,104.4410172,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.591942655,0.578488404,0.129519472,0.848378259,0.185061107,0.505791761
17,2020/3/19,100.9965057,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.547017441,0.561531122,0.129519472,0.902493411,0.185997352,0.449298412
18,2020/3/20,99.62461853,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.585495623,0.537748866,0.129519472,0.924931542,0.198574917,0.443119335
19,2020/3/21,96.9005839,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.636455675,0.573607276,0.129519472,0.601476943,0.199693816,0.496431899
20,2020/3/22,94.17654928,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.606119854,0.511337517,0.129519472,0.665033562,0.188534733,0.409262616
21,2020/3/23,91.45251465,-1,0.512855851,0.992350896,1,0,0.607154187,0.107709102,0,0.387583929,0.01902929,1,0.335582239,0.306885045,0,1,1,0.486693591,0.810549596,0,0.5638753,0.572906826,0.578981972,0.253694848,1,0.187832761,0.52574955
